SNAP_TIME,EXECS/DOMUTR6,EXECS/DOMUTX6
2020121808,32685.0,5178.0
2020121809,32586.0,5633.0
2020121810,34135.0,5475.0
2020121811,35410.0,5942.0
2020121812,36397.0,5563.0
2020121813,37068.0,5149.0
2020121814,38347.0,4487.0
2020121815,39117.0,3948.0
2020121816,40600.0,3865.0
2020121817,41709.0,3091.0
2020121818,42909.0,1886.0
2020121819,43629.0,935.0
2020121820,44079.0,862.0
2020121821,44532.0,819.0
2020121822,45037.0,576.0
2020121823,45478.0,480.0
2020121900,45930.0,82.0
2020121901,46381.0,2.0
2020121902,46831.0,7.0
2020121903,47281.0,18330.0
2020121904,47728.0,6879.0
2020121905,48179.0,9638.0
2020121906,48631.0,8047.0
2020121907,49081.0,6847.0
2020121908,49526.0,6157.0
2020121909,49976.0,5798.0
2020121910,50427.0,5075.0
2020121911,50934.0,5045.0
2020121912,51384.0,4993.0
2020121913,51879.0,4726.0
2020121914,52345.0,1873.0
2020121915,52812.0,1553.0
2020121916,53304.0,1280.0
2020121917,53755.0,1161.0
2020121918,54206.0,1110.0
2020121919,54652.0,859.0
2020121920,55103.0,662.0
2020121921,55554.0,566.0
2020121922,56004.0,576.0
2020121923,56455.0,305.0
2020122000,56901.0,406.0
2020122001,57353.0,163.0
2020122002,57803.0,145.0
2020122003,58253.0,156.0
2020122004,58704.0,147.0
2020122005,59150.0,156.0
2020122006,59600.0,113.0
2020122007,43848.0,365.0
2020122008,44294.0,1159.0
2020122009,44744.0,1330.0
2020122010,45195.0,1401.0
2020122011,45645.0,1502.0
2020122012,40276.0,1392.0
2020122013,40401.0,1063.0
2020122014,40491.0,1441.0
2020122015,40539.0,1338.0
2020122016,40539.0,990.0
2020122017,40539.0,1103.0
2020122018,40539.0,907.0
2020122019,40539.0,768.0
2020122020,40539.0,1412.0
2020122021,40539.0,1080.0
2020122022,40539.0,647.0
2020122023,16210.0,364.0
2020122100,16480.0,54.0
2020122101,16749.0,10.0
2020122102,17017.0,244.0
2020122103,17283.0,147.0
2020122104,14560.0,190.0
2020122105,5112.0,193.0
2020122106,5382.0,283.0
2020122107,5652.0,1551.0
2020122108,5920.0,
2020111506,,497.0
2020111507,,815.0
2020111508,,1687.0
2020111509,,1592.0
2020111510,,1590.0
2020111511,,0.0
2020111513,,1245.0
2020111514,,3470.0
2020111515,,2787.0
2020111516,,2731.0
2020111517,,2397.0
2020111518,,2757.0
2020111519,,1570.0
2020111520,,2523.0
2020111521,,1547.0
2020111522,,890.0
2020111523,,702.0
2020111600,,29.0
2020111603,,42.0
2020111604,,173.0
2020111605,,170.0
2020111606,,368.0
2020111607,,7390.0
2020111608,,14507.0
2020111609,,12948.0
2020111610,,13280.0
2020111611,,13622.0
2020111612,,12398.0
2020111613,,11916.0
2020111614,,10983.0
2020111615,,11143.0
2020111616,,10124.0
2020111617,,8431.0
2020111618,,5738.0
2020111619,,2713.0
2020111620,,5769.0
2020111621,,2397.0
2020111622,,1186.0
2020111623,,681.0
2020111700,,34.0
2020111702,,6.0
2020111703,,9771.0
2020111704,,11180.0
2020111705,,8165.0
2020111706,,10031.0
2020111707,,12586.0
2020111708,,13233.0
2020111709,,13050.0
2020111710,,12525.0
2020111711,,12199.0
2020111712,,11767.0
2020111713,,11380.0
2020111714,,11454.0
2020111715,,10646.0
2020111716,,9716.0
2020111717,,9178.0
2020111718,,7174.0
2020111719,,2612.0
2020111720,,4219.0
2020111721,,2005.0
2020111722,,1609.0
2020111723,,586.0
2020111800,,37.0
2020111802,,10.0
2020111803,,102.0
2020111804,,110.0
2020111805,,3096.0
2020111806,,3534.0
2020111807,,3643.0
2020111808,,3397.0
2020111809,,2820.0
2020111810,,2653.0
2020111811,,2731.0
2020111812,,2888.0
2020111813,,2919.0
2020111814,,2785.0
2020111815,,2798.0
2020111816,,2764.0
2020111817,,2662.0
2020111818,,1920.0
2020111819,,1641.0
2020111820,,1739.0
2020111821,,1050.0
2020111822,,866.0
2020111823,,567.0
2020111900,,393.0
2020111901,,123.0
2020111902,,113.0
2020111903,,937.0
2020111904,,3223.0
2020111905,,3098.0
2020111906,,1086.0
2020111907,,2264.0
2020111908,,1975.0
2020111909,,1882.0
2020111910,,1896.0
2020111911,,1869.0
2020111912,,1645.0
2020111913,,1867.0
2020111914,,1764.0
2020111915,,28.0
2020111916,,1045.0
2020111917,,2237.0
2020111918,,1767.0
2020111919,,77.0
2020111920,,661.0
2020111921,,617.0
2020111922,,625.0
2020111923,,484.0
2020112000,,30.0
2020112003,,169.0
2020112004,,687.0
2020112005,,610.0
2020112006,,616.0
2020112007,,1908.0
2020112008,,2013.0
2020112009,,1849.0
2020112010,,1826.0
2020112011,,1769.0
2020112012,,1916.0
2020112013,,1983.0
2020112014,,1814.0
2020112015,,1911.0
2020112016,,2073.0
2020112017,,2194.0
2020112018,,2232.0
2020112019,,2155.0
2020112020,,2182.0
2020112021,,1891.0
2020112022,,1928.0
2020112023,,1335.0
2020112100,,35.0
2020112101,,38.0
2020112102,,140.0
2020112103,,606.0
2020112104,,431.0
2020112105,,434.0
2020112106,,534.0
2020112107,,611.0
2020112108,,574.0
2020112109,,1064.0
2020112110,,2264.0
2020112111,,2249.0
2020112112,,2179.0
2020112113,,2182.0
2020112114,,2201.0
2020112115,,2182.0
2020112116,,1726.0
2020112117,,1100.0
2020112118,,874.0
2020112119,,659.0
2020112120,,514.0
2020112121,,391.0
2020112122,,298.0
2020112123,,309.0
2020112200,,187.0
2020112201,,149.0
2020112202,,110.0
2020112203,,108.0
2020112204,,110.0
2020112205,,128.0
2020112206,,136.0
2020112207,,339.0
2020112208,,542.0
2020112209,,637.0
2020112210,,578.0
2020112211,,84.0
2020112215,,550.0
2020112216,,1141.0
2020112217,,1044.0
2020112218,,1031.0
2020112219,,822.0
2020112220,,685.0
2020112221,,632.0
2020112222,,445.0
2020112223,,436.0
2020112300,,42.0
2020112301,,49.0
2020112302,,143.0
2020112303,,127.0
2020112304,,143.0
2020112305,,168.0
2020112306,,213.0
2020112307,,637.0
2020112308,,628.0
2020112309,,508.0
2020112310,,515.0
2020112311,,7478.0
2020112312,,10761.0
2020112313,,10096.0
2020112314,,10285.0
2020112315,,10249.0
2020112316,,10039.0
2020112317,,7419.0
2020112318,,2762.0
2020112321,,10.0
2020112322,,287.0
2020112400,,9.0
2020112401,,60.0
2020112402,,44.0
2020112403,,142.0
2020112405,,2633.0
2020112406,,1292.0
2020112407,,2539.0
2020112408,,2264.0
2020112409,,605.0
2020112410,,199.0
2020112411,,206.0
2020112412,,160.0
2020112413,,176.0
2020112414,,232.0
2020112415,,153.0
2020112416,,220.0
2020112417,,228.0
2020112418,,173.0
2020112419,,288.0
2020112420,,156.0
2020112421,,325.0
2020112422,,461.0
2020112423,,634.0
2020112500,,372.0
2020112501,,166.0
2020112502,,217.0
2020112503,,2903.0
2020112504,,4890.0
2020112505,,4730.0
2020112506,,4557.0
2020112507,,4709.0
2020112508,,4683.0
2020112509,,4060.0
2020112510,,1410.0
2020112511,,2001.0
2020112512,,2048.0
2020112513,,809.0
2020112514,,88.0
2020112515,,92.0
2020112516,,96.0
2020112517,,685.0
2020112518,,848.0
2020112519,,676.0
2020112520,,612.0
2020112521,,570.0
2020112522,,463.0
2020112523,,352.0
2020112600,,46.0
2020112601,,26.0
2020112602,,86.0
2020112603,,255.0
2020112604,,985.0
2020112605,,614.0
2020112606,,753.0
2020112607,,1041.0
2020112608,,1055.0
2020112609,,959.0
2020112610,,904.0
2020112611,,836.0
2020112612,,789.0
2020112613,,723.0
2020112614,,680.0
2020112615,,657.0
2020112616,,655.0
2020112617,,647.0
2020112618,,657.0
2020112619,,642.0
2020112620,,653.0
2020112621,,771.0
2020112622,,780.0
2020112623,,644.0
2020112700,,116.0
2020112701,,14.0
2020112702,,155.0
2020112703,,583.0
2020112704,,604.0
2020112705,,837.0
2020112706,,856.0
2020112707,,810.0
2020112708,,826.0
2020112709,,874.0
2020112710,,794.0
2020112711,,742.0
2020112712,,762.0
2020112713,,737.0
2020112714,,622.0
2020112715,,555.0
2020112716,,635.0
2020112717,,695.0
2020112718,,719.0
2020112719,,718.0
2020112720,,730.0
2020112721,,690.0
2020112722,,738.0
2020112723,,496.0
2020112800,,67.0
2020112801,,8.0
2020112802,,33.0
2020112803,,30.0
2020112804,,35.0
2020112805,,36.0
2020112806,,245.0
2020112807,,232.0
2020112808,,392.0
2020112809,,388.0
2020112810,,399.0
2020112811,,392.0
2020112812,,368.0
2020112813,,388.0
2020112814,,396.0
2020112815,,390.0
2020112816,,386.0
2020112817,,387.0
2020112818,,389.0
2020112819,,378.0
2020112820,,367.0
2020112821,,387.0
2020112822,,376.0
2020112823,,259.0
2020112900,,118.0
2020112901,,177.0
2020112902,,165.0
2020112903,,791.0
2020112904,,796.0
2020112905,,500.0
2020112906,,225.0
2020112907,,378.0
2020112908,,841.0
2020112909,,804.0
2020112910,,820.0
2020112911,,768.0
2020112912,,691.0
2020112913,,667.0
2020112914,,684.0
2020112915,,585.0
2020112916,,627.0
2020112917,,588.0
2020112918,,558.0
2020112919,,592.0
2020112920,,559.0
2020112921,,465.0
2020112922,,420.0
2020112923,,339.0
2020113000,,47.0
2020113001,,63.0
2020113002,,787.0
2020113003,,681.0
2020113004,,176.0
2020113005,,152.0
2020113006,,256.0
2020113007,,735.0
2020113008,,778.0
2020113009,,720.0
2020113010,,672.0
2020113011,,688.0
2020113012,,736.0
2020113013,,756.0
2020113014,,693.0
2020113015,,744.0
2020113016,,758.0
2020113017,,787.0
2020113018,,737.0
2020113019,,652.0
2020113020,,717.0
2020113021,,585.0
2020113022,,325.0
2020113023,,195.0
2020120100,,48.0
2020120101,,61.0
2020120102,,189.0
2020120103,,656.0
2020120104,,792.0
2020120105,,442.0
2020120106,,739.0
2020120107,,756.0
2020120108,,752.0
2020120109,,490.0
2020120110,,30.0
2020120111,,36.0
2020120112,,195.0
2020120113,,732.0
2020120114,,615.0
2020120115,,708.0
2020120116,,702.0
2020120117,,740.0
2020120118,,573.0
2020120119,,397.0
2020120120,,677.0
2020120121,,572.0
2020120122,,554.0
2020120123,,331.0
2020120200,,38.0
2020120201,,49.0
2020120202,,384.0
2020120203,,778.0
2020120204,,608.0
2020120205,,778.0
2020120206,,771.0
2020120207,,759.0
2020120208,,736.0
2020120209,,664.0
2020120210,,646.0
2020120211,,648.0
2020120212,,717.0
2020120213,,743.0
2020120214,,693.0
2020120215,,726.0
2020120216,,764.0
2020120217,,761.0
2020120218,,442.0
2020120220,,402.0
2020120221,,628.0
2020120222,,483.0
2020120223,,403.0
2020120300,,281.0
2020120301,,169.0
2020120302,,530.0
2020120303,,751.0
2020120304,,741.0
2020120305,,469.0
2020120306,,250.0
2020120307,,687.0
2020120308,,722.0
2020120309,,650.0
2020120310,,649.0
2020120311,,628.0
2020120312,,685.0
2020120313,,715.0
2020120314,,658.0
2020120315,,687.0
2020120316,,728.0
2020120317,,748.0
2020120318,,761.0
2020120319,,4302.0
2020120320,,5612.0
2020120321,,5457.0
2020120322,,5291.0
2020120323,,2649.0
2020120400,,70.0
2020120401,,54.0
2020120402,,283.0
2020120403,,5216.0
2020120404,,5796.0
2020120405,,5034.0
2020120406,,4812.0
2020120407,,6519.0
2020120408,,6913.0
2020120409,,5929.0
2020120410,,6139.0
2020120411,,5858.0
2020120412,,4199.0
2020120413,,6695.0
2020120414,,6076.0
2020120415,,6441.0
2020120416,,6670.0
2020120417,,6223.0
2020120418,,5722.0
2020120419,,4850.0
2020120420,,5371.0
2020120421,,2977.0
2020120422,,923.0
2020120423,,547.0
2020120500,,65.0
2020120501,,7.0
2020120502,,108.0
2020120503,,3213.0
2020120504,,5896.0
2020120505,,2336.0
2020120506,,5224.0
2020120507,,5161.0
2020120508,,5904.0
2020120509,,6082.0
2020120510,,5997.0
2020120511,,5906.0
2020120512,,5452.0
2020120513,,5394.0
2020120514,,5654.0
2020120515,,1226.0
2020120516,,3516.0
2020120517,,2008.0
2020120518,,501.0
2020120519,,2831.0
2020120520,,4829.0
2020120521,,788.0
2020120522,,787.0
2020120523,,480.0
2020120600,,326.0
2020120601,,293.0
2020120602,,176.0
2020120603,,179.0
2020120604,,189.0
2020120605,,226.0
2020120606,,399.0
