,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
144,20200928000044,CONFOP0,user commits,0,,
145,20200928010016,CONFOP0,user commits,0,3627.158,0.0
146,20200928020043,CONFOP0,user commits,0,3565.479,0.0
147,20200928030009,CONFOP0,user commits,0,3629.821,0.0
148,20200928040038,CONFOP0,user commits,0,3569.797,0.0
149,20200928050008,CONFOP0,user commits,0,3631.172,0.0
150,20200928060039,CONFOP0,user commits,0,3566.174,0.0
151,20200928070006,CONFOP0,user commits,0,3633.774,0.0
152,20200928080039,CONFOP0,user commits,0,3563.093,0.0
153,20200928090002,CONFOP0,user commits,0,3621.073,0.0
154,20200928100024,CONFOP0,user commits,0,3621.707,0.0
155,20200928110045,CONFOP0,user commits,0,3563.093,0.0
156,20200928120008,CONFOP0,user commits,0,3621.546,0.0
157,20200928130030,CONFOP0,user commits,0,3631.056,0.0
158,20200928140101,CONFOP0,user commits,0,3573.355,0.0
159,20200928150034,CONFOP0,user commits,0,3572.421,0.0
160,20200928000044,SYS$BACKGROUND,user commits,139531,,
161,20200928010016,SYS$BACKGROUND,user commits,139575,3627.158,0.01
162,20200928020043,SYS$BACKGROUND,user commits,139609,3565.479,0.01
163,20200928030009,SYS$BACKGROUND,user commits,139641,3629.821,0.01
164,20200928040038,SYS$BACKGROUND,user commits,139675,3569.797,0.01
165,20200928050008,SYS$BACKGROUND,user commits,139725,3631.172,0.01
166,20200928060039,SYS$BACKGROUND,user commits,139782,3566.174,0.02
167,20200928070006,SYS$BACKGROUND,user commits,139822,3633.774,0.01
168,20200928080039,SYS$BACKGROUND,user commits,139861,3563.093,0.01
169,20200928090002,SYS$BACKGROUND,user commits,139899,3621.073,0.01
170,20200928100024,SYS$BACKGROUND,user commits,139943,3621.707,0.01
171,20200928110045,SYS$BACKGROUND,user commits,139981,3563.093,0.01
172,20200928120008,SYS$BACKGROUND,user commits,140024,3621.546,0.01
173,20200928130030,SYS$BACKGROUND,user commits,140062,3631.056,0.01
174,20200928140101,SYS$BACKGROUND,user commits,140109,3573.355,0.01
175,20200928150034,SYS$BACKGROUND,user commits,140144,3572.421,0.01
176,20200928000044,SYS$USERS,user commits,289727,,
177,20200928010016,SYS$USERS,user commits,290138,3627.158,0.11
