,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE
145,20200924000023,NTOT01,execute count,0,,
146,20200924000023,SO_NTO_P0,execute count,0,,
147,20200924000023,SO_NTO_T1,execute count,15293,,
148,20200924000023,SYS$BACKGROUND,execute count,0,,
149,20200924000023,SYS$USERS,execute count,172271,,
150,20200924000023,seeddata,execute count,0,,
151,20200924000023,seeddataXDB,execute count,0,,
152,20200924000023,IONTOT1,logons cumulative,6989,,
153,20200924000023,NTOT01,logons cumulative,0,,
154,20200924000023,SO_NTO_P0,logons cumulative,0,,
155,20200924000023,SO_NTO_T1,logons cumulative,63,,
156,20200924000023,SYS$BACKGROUND,logons cumulative,2188,,
157,20200924000023,SYS$USERS,logons cumulative,975,,
158,20200924000023,seeddata,logons cumulative,0,,
159,20200924000023,seeddataXDB,logons cumulative,0,,
160,20200924000023,IONTOT1,parse count (total),427472,,
161,20200924000023,NTOT01,parse count (total),0,,
162,20200924000023,SO_NTO_P0,parse count (total),0,,
163,20200924000023,SO_NTO_T1,parse count (total),897,,
164,20200924000023,SYS$BACKGROUND,parse count (total),0,,
165,20200924000023,SYS$USERS,parse count (total),41206,,
166,20200924000023,seeddata,parse count (total),0,,
167,20200924000023,seeddataXDB,parse count (total),0,,
168,20200924000023,IONTOT1,opened cursors cumulative,2896683,,
169,20200924000023,NTOT01,opened cursors cumulative,0,,
170,20200924000023,SO_NTO_P0,opened cursors cumulative,0,,
171,20200924000023,SO_NTO_T1,opened cursors cumulative,966,,
172,20200924000023,SYS$BACKGROUND,opened cursors cumulative,304386,,
173,20200924000023,SYS$USERS,opened cursors cumulative,171775,,
174,20200924000023,seeddata,opened cursors cumulative,0,,
175,20200924000023,seeddataXDB,opened cursors cumulative,0,,
176,20200924000023,IONTOT1,gc current blocks received,0,,
177,20200924000023,NTOT01,gc current blocks received,0,,
178,20200924000023,SO_NTO_P0,gc current blocks received,0,,
179,20200924000023,SO_NTO_T1,gc current blocks received,0,,
180,20200924000023,SYS$BACKGROUND,gc current blocks received,0,,
181,20200924000023,SYS$USERS,gc current blocks received,0,,
182,20200924000023,seeddata,gc current blocks received,0,,
183,20200924000023,seeddataXDB,gc current blocks received,0,,
184,20200924000023,IONTOT1,user commits,1854443,,
185,20200924000023,NTOT01,user commits,0,,
186,20200924000023,SO_NTO_P0,user commits,0,,
187,20200924000023,SO_NTO_T1,user commits,0,,
188,20200924000023,SYS$BACKGROUND,user commits,5509,,
189,20200924000023,SYS$USERS,user commits,5200,,
190,20200924000023,seeddata,user commits,0,,
191,20200924000023,seeddataXDB,user commits,0,,
192,20200924000023,IONTOT1,workarea executions - onepass,7318,,
193,20200924000023,NTOT01,workarea executions - onepass,0,,
194,20200924000023,SO_NTO_P0,workarea executions - onepass,0,,
195,20200924000023,SO_NTO_T1,workarea executions - onepass,0,,
196,20200924000023,SYS$BACKGROUND,workarea executions - onepass,0,,
197,20200924000023,SYS$USERS,workarea executions - onepass,8,,
198,20200924000023,seeddata,workarea executions - onepass,0,,
199,20200924000023,seeddataXDB,workarea executions - onepass,0,,
200,20200924000023,IONTOT1,db block changes,162702454,,
201,20200924000023,NTOT01,db block changes,0,,
202,20200924000023,SO_NTO_P0,db block changes,0,,
203,20200924000023,SO_NTO_T1,db block changes,530,,
204,20200924000023,SYS$BACKGROUND,db block changes,1847499,,
205,20200924000023,SYS$USERS,db block changes,357565,,
206,20200924000023,seeddata,db block changes,0,,
207,20200924000023,seeddataXDB,db block changes,0,,
208,20200924000023,IONTOT1,application wait time,82292706,,
209,20200924000023,NTOT01,application wait time,0,,
210,20200924000023,SO_NTO_P0,application wait time,0,,
211,20200924000023,SO_NTO_T1,application wait time,0,,
212,20200924000023,SYS$BACKGROUND,application wait time,79612,,
213,20200924000023,SYS$USERS,application wait time,244784,,
214,20200924000023,seeddata,application wait time,0,,
215,20200924000023,seeddataXDB,application wait time,0,,
216,20200924000023,IONTOT1,physical writes,275526189,,
217,20200924000023,NTOT01,physical writes,0,,
218,20200924000023,SO_NTO_P0,physical writes,0,,
219,20200924000023,SO_NTO_T1,physical writes,0,,
220,20200924000023,SYS$BACKGROUND,physical writes,9495190,,
221,20200924000023,SYS$USERS,physical writes,1117335,,
222,20200924000023,seeddata,physical writes,0,,
223,20200924000023,seeddataXDB,physical writes,0,,
224,20200924010044,IONTOT1,user rollbacks,0,3561.882,0.0
225,20200924010044,NTOT01,user rollbacks,0,3561.882,0.0
226,20200924010044,SO_NTO_P0,user rollbacks,0,3561.882,0.0
227,20200924010044,SO_NTO_T1,user rollbacks,1,3561.882,0.0
228,20200924010044,SYS$BACKGROUND,user rollbacks,16,3561.882,0.0
229,20200924010044,SYS$USERS,user rollbacks,8,3561.882,0.0
230,20200924010044,seeddata,user rollbacks,0,3561.882,0.0
231,20200924010044,seeddataXDB,user rollbacks,0,3561.882,0.0
232,20200924010044,IONTOT1,session cursor cache hits,3061167,3561.882,63.16
233,20200924010044,NTOT01,session cursor cache hits,0,3561.882,0.0
234,20200924010044,SO_NTO_P0,session cursor cache hits,0,3561.882,0.0
235,20200924010044,SO_NTO_T1,session cursor cache hits,174,3561.882,0.0
236,20200924010044,SYS$BACKGROUND,session cursor cache hits,306225,3561.882,10.0
237,20200924010044,SYS$USERS,session cursor cache hits,376089,3561.882,35.05
238,20200924010044,seeddata,session cursor cache hits,0,3561.882,0.0
239,20200924010044,seeddataXDB,session cursor cache hits,0,3561.882,0.0
240,20200924010044,IONTOT1,workarea executions - multipass,0,3561.882,0.0
241,20200924010044,NTOT01,workarea executions - multipass,0,3561.882,0.0
242,20200924010044,SO_NTO_P0,workarea executions - multipass,0,3561.882,0.0
243,20200924010044,SO_NTO_T1,workarea executions - multipass,0,3561.882,0.0
244,20200924010044,SYS$BACKGROUND,workarea executions - multipass,0,3561.882,0.0
245,20200924010044,SYS$USERS,workarea executions - multipass,0,3561.882,0.0
246,20200924010044,seeddata,workarea executions - multipass,0,3561.882,0.0
247,20200924010044,seeddataXDB,workarea executions - multipass,0,3561.882,0.0
248,20200924010044,IONTOT1,concurrency wait time,529528074,3561.882,22031.39
249,20200924010044,NTOT01,concurrency wait time,0,3561.882,0.0
250,20200924010044,SO_NTO_P0,concurrency wait time,0,3561.882,0.0
251,20200924010044,SO_NTO_T1,concurrency wait time,1350,3561.882,0.0
252,20200924010044,SYS$BACKGROUND,concurrency wait time,1151582,3561.882,39.12
253,20200924010044,SYS$USERS,concurrency wait time,5843364,3561.882,0.41
254,20200924010044,seeddata,concurrency wait time,0,3561.882,0.0
255,20200924010044,seeddataXDB,concurrency wait time,0,3561.882,0.0
256,20200924010044,IONTOT1,DB CPU,57370641728,3561.882,1669860.73
257,20200924010044,NTOT01,DB CPU,0,3561.882,0.0
258,20200924010044,SO_NTO_P0,DB CPU,0,3561.882,0.0
259,20200924010044,SO_NTO_T1,DB CPU,7910446,3561.882,38.88
260,20200924010044,SYS$BACKGROUND,DB CPU,51285,3561.882,0.0
261,20200924010044,SYS$USERS,DB CPU,1117571093,3561.882,47505.36
262,20200924010044,seeddata,DB CPU,0,3561.882,0.0
263,20200924010044,seeddataXDB,DB CPU,0,3561.882,0.0
264,20200924010044,IONTOT1,sql execute elapsed time,229556746248,3561.882,7724229.84
265,20200924010044,NTOT01,sql execute elapsed time,0,3561.882,0.0
266,20200924010044,SO_NTO_P0,sql execute elapsed time,0,3561.882,0.0
267,20200924010044,SO_NTO_T1,sql execute elapsed time,14282099,3561.882,28.58
268,20200924010044,SYS$BACKGROUND,sql execute elapsed time,0,3561.882,0.0
269,20200924010044,SYS$USERS,sql execute elapsed time,4741549118,3561.882,152449.22
