,SNAP_TIME,SERVICE_NAME,STAT_NAME,VALUE,DELTAT_SEC,RATE_VALUE,SERVICE_NAME,SUM(VALUE)
91,20201109000008,SYS$USERS,parse time elapsed,51100300282,,,SYS$USERS,362173855988807
92,20201109000008,IOMUTX5,gc cr block receive time,0,,,IOMUTX5,3832978203583
93,20201109000008,SO_AUG_X1,gc cr block receive time,0,,,SO_AUG_X1,4997767074404
94,20201109000008,SYS$BACKGROUND,gc cr block receive time,0,,,SYS$BACKGROUND,3199996016993
95,20201109000008,SYS$USERS,gc cr block receive time,0,,,SYS$USERS,362173855988807
96,20201109000008,IOMUTX5,physical reads,8951547,,,IOMUTX5,3832978203583
97,20201109000008,SO_AUG_X1,physical reads,70454142,,,SO_AUG_X1,4997767074404
98,20201109000008,SYS$BACKGROUND,physical reads,17333904,,,SYS$BACKGROUND,3199996016993
99,20201109000008,SYS$USERS,physical reads,1858649992,,,SYS$USERS,362173855988807
100,20201109000008,IOMUTX5,cluster wait time,0,,,IOMUTX5,3832978203583
101,20201109000008,SO_AUG_X1,cluster wait time,0,,,SO_AUG_X1,4997767074404
102,20201109000008,SYS$BACKGROUND,cluster wait time,0,,,SYS$BACKGROUND,3199996016993
103,20201109000008,SYS$USERS,cluster wait time,0,,,SYS$USERS,362173855988807
104,20201109000008,IOMUTX5,execute count,1621507,,,IOMUTX5,3832978203583
105,20201109000008,SO_AUG_X1,execute count,647394566,,,SO_AUG_X1,4997767074404
106,20201109000008,SYS$BACKGROUND,execute count,0,,,SYS$BACKGROUND,3199996016993
107,20201109000008,SYS$USERS,execute count,8700010577,,,SYS$USERS,362173855988807
108,20201109000008,IOMUTX5,logons cumulative,209517,,,IOMUTX5,3832978203583
109,20201109000008,SO_AUG_X1,logons cumulative,902,,,SO_AUG_X1,4997767074404
110,20201109000008,SYS$BACKGROUND,logons cumulative,515553,,,SYS$BACKGROUND,3199996016993
111,20201109000008,SYS$USERS,logons cumulative,224531,,,SYS$USERS,362173855988807
112,20201109010015,IOMUTX5,DB CPU,6159168506,3607.164,444.6,IOMUTX5,3832978203583
113,20201109010015,SO_AUG_X1,DB CPU,8248892119,3607.164,0.0,SO_AUG_X1,4997767074404
114,20201109010015,SYS$BACKGROUND,DB CPU,0,3607.164,0.0,SYS$BACKGROUND,3199996016993
115,20201109010015,SYS$USERS,DB CPU,341712584604,3607.164,2349.97,SYS$USERS,362173855988807
116,20201109010015,IOMUTX5,sql execute elapsed time,12092851526,3607.164,210.66,IOMUTX5,3832978203583
117,20201109010015,SO_AUG_X1,sql execute elapsed time,19921099805,3607.164,0.0,SO_AUG_X1,4997767074404
118,20201109010015,SYS$BACKGROUND,sql execute elapsed time,0,3607.164,0.0,SYS$BACKGROUND,3199996016993
119,20201109010015,SYS$USERS,sql execute elapsed time,954221543900,3607.164,5703.42,SYS$USERS,362173855988807
120,20201109010015,IOMUTX5,gc cr blocks received,0,3607.164,0.0,IOMUTX5,3832978203583
121,20201109010015,SO_AUG_X1,gc cr blocks received,0,3607.164,0.0,SO_AUG_X1,4997767074404
122,20201109010015,SYS$BACKGROUND,gc cr blocks received,0,3607.164,0.0,SYS$BACKGROUND,3199996016993
123,20201109010015,SYS$USERS,gc cr blocks received,0,3607.164,0.0,SYS$USERS,362173855988807
124,20201109010015,IOMUTX5,user calls,1576206,3607.164,0.13,IOMUTX5,3832978203583
125,20201109010015,SO_AUG_X1,user calls,181476,3607.164,0.0,SO_AUG_X1,4997767074404
126,20201109010015,SYS$BACKGROUND,user calls,0,3607.164,0.0,SYS$BACKGROUND,3199996016993
127,20201109010015,SYS$USERS,user calls,14211501,3607.164,0.21,SYS$USERS,362173855988807
128,20201109010015,IOMUTX5,session logical reads,29836862,3607.164,0.46,IOMUTX5,3832978203583
129,20201109010015,SO_AUG_X1,session logical reads,1855262099,3607.164,0.0,SO_AUG_X1,4997767074404
130,20201109010015,SYS$BACKGROUND,session logical reads,342564115,3607.164,30.76,SYS$BACKGROUND,3199996016993
131,20201109010015,SYS$USERS,session logical reads,106573606298,3607.164,746.7,SYS$USERS,362173855988807
132,20201109010015,IOMUTX5,workarea executions - optimal,248524,3607.164,0.03,IOMUTX5,3832978203583
133,20201109010015,SO_AUG_X1,workarea executions - optimal,40399212,3607.164,0.0,SO_AUG_X1,4997767074404
134,20201109010015,SYS$BACKGROUND,workarea executions - optimal,5230553,3607.164,0.41,SYS$BACKGROUND,3199996016993
